id,author_name,country
90,Antone Collins,Pyongyang
91,Eugenio Gorczany,Maputo
92,Owen Grady,Nuku'alofa
93,Tuyet Legros,Caracas
94,Lulu Romaguera,Dar es Salaam
95,Annett Littel,Tbilisi
96,Zofia Kling,Kabul
97,Christia Beier,Dushanbe
98,Vickey Doyle,Melekeok
99,Latoyia Durgan,Zagreb
100,Hellen Greenholt,Libreville
101,Hung Carter,Beirut
102,Darrin Kub,Damascus
103,Felton Cormier,Moroni
104,Terrell Kuhn,Brussels
105,Damion Bauch,Asuncion
106,Yasmin Deckow,Gaborone
107,Mickey McKenzie,Dili
108,Jasper Shields,Dar es Salaam
109,Waylon Moen,Skopje
110,Tabetha Frami,Honiara
111,Monte Brakus,Moroni
112,Leandra Hackett,Luanda
113,Lucio Pfannerstill,Canberra
114,Chad Schmidt,Roseau
115,Ernestina Olson,Copenhagen
116,Lillian Runolfsson,Vaiaku village
117,Hank Terry,Saint John's
118,Ezra Bauch,Port Louis
119,Annis Reilly,Phnom Penh
120,Senaida Upton,Monrovia
121,Mitch Spinka,Algiers
122,Douglas Langworth,Kampala
123,Blair Bernhard,Dushanbe
124,Pam Bergstrom,Monaco
125,Takisha Gleichner,Bangkok
126,Michael Cormier,Panama City
127,Marybelle Mosciski,San Jose
128,Clemmie Breitenberg,Cairo
129,Nelle Hudson,Male
130,Corrin Nader,Sanaa
131,Nieves Mertz,Suva
132,Odessa O'Reilly,Accra
133,Connie Smitham,Dushanbe
134,Muriel Gusikowski,Stockholm
135,Lanell Bednar,Caracas
136,Dewitt Deckow,Valletta
137,Dane Emmerich,Yaounde
138,Marilee Schaden,Antananarivo
139,Helaine Heaney,Nairobi
140,Lenny Torp,Vilnius
141,Basil Hayes,Saint George's
142,Armand Spencer,Mexico City
143,Shannon Flatley,Brussels
144,Clarita Hamill,Bern
145,Bernarda Schroeder,Damascus
146,Richie Baumbach,Tirana
147,Tran Dietrich,Chisinau
148,Santo Jenkins,Mexico City
149,Teri Hickle,Mogadishu
150,Shera Walker,Stockholm
151,Cheryle Hickle,Santiago
152,Meta McLaughlin,Bishkek
153,Jerald Medhurst,Rabat
154,Rufus Little,Valletta
155,Lajuana Osinski,Managua
156,Carmelita Fay,Tarawa Atoll
157,Cherish Jones,Taipei
158,Gregg Mosciski,Quito
159,Antonetta Waelchi,Oslo
160,Ai Hagenes,Brasilia
161,Jerold Wolf,Roseau
162,Shawanna Lynch,Bern
163,Earl Mitchell,Juba
164,Whitney Bogisich,Jerusalem
165,Cordelia Fritsch,Kathmandu
166,Chu Kuhic,Palikir
167,Kareen Grady,Majuro
168,Lacy Lindgren,Bangkok
169,Farrah Rath,Moroni
170,Rudy Greenfelder,Port Moresby
171,Harold O'Connell,Port-Vila
172,Brice Spencer,Saint George's
173,Jaye Kassulke,Hanoi
174,Jeffie Yundt,Victoria
175,Herta Cole,N'Djamena
176,Len Emmerich,Windhoek
177,Anibal Hauck,Manila
178,Tobias Satterfield,Saint George's
179,Craig Grimes,Doha
180,Cedric Fay,Sofia
181,Lena Aufderhar,Reykjavik
182,Jospeh O'Keefe,Windhoek
183,Darnell Donnelly,Beijing
184,Sam Hayes,Mexico City
185,Jeramy O'Conner,Beirut
186,Daren Jones,Tokyo
187,Mauro Bashirian,Doha
188,Darryl Lowe,Muscat
189,Franchesca Fadel,Baku
190,Chastity West,Palikir
191,Jaqueline Trantow,Kingstown
192,Mohammed Walker,Monaco
193,Morton Raynor,Baku
194,Elenor Mosciski,Jerusalem
195,Angla Bartoletti,Buenos Aires
196,Reda Lakin,Bangkok
197,Sandy McCullough,Ottawa
198,Lacy Hahn,Juba
199,Angelia Oberbrunner,Thimphu
200,Michael Morissette,Melekeok
201,Toney Mills,Melekeok
202,Ima Waelchi,Minsk
203,Dirk Kautzer,Praia Bangui
204,Reba Zieme,Vientiane
205,Elbert Steuber,Yerevan
206,Wanda Fadel,Nicosia
207,Alia Bashirian,Vatican City
208,Tiffany Prosacco,Prague
209,Carmen Corkery,Havana
210,Jan Torphy,Freetown
211,Arnoldo Shanahan,Riga
212,Cedric Torphy,Georgetown
213,Rudy Harris,Tunis
214,Jerrica Reichert,Bridgetown
215,Andreas Schmidt,Bujumbura
216,Jesse Roberts,Reykjavik
217,Glenna Pfannerstill,Minsk
218,Ria Baumbach,Copenhagen
219,Corina Swaniawski,Victoria
220,Lisbeth Boehm,Addis Ababa
221,Lonnie Fisher,Accra
222,Cole Weber,Dar es Salaam
223,Marquis Harris,Conakry
224,Nathaniel Trantow,Accra
225,Nick Tillman,Maseru
226,Ali Moen,Oslo
227,Sherlene Walter,Manila
228,Joan Will,Antananarivo
229,Amado Von,Rabat
230,Zenia Wilderman,San Salvador
231,Mitchell Nolan,Bratislava
232,Shanice Macejkovic,Georgetown
233,Caron McLaughlin,Beijing
234,Theo Cruickshank,Palikir
235,Todd Boyer,Managua
236,Oneida Greenholt,N'Djamena
237,Curtis Langworth,Monrovia
238,Geneva Nikolaus,Maputo
239,Carmelia Cummings,Port-Vila
240,Nathanial Kassulke,Riyadh
241,Kam Halvorson,Port Louis
242,Evelina Champlin,Islamabad
243,Sean Wintheiser,Nicosia
244,Fallon Haag,San Marino
245,Thanh Welch,Jerusalem
246,Duncan Parker,Vientiane
247,Sharen Leuschke,Djibouti
248,Leonard Schuppe,Kyiv
249,Roberto Spencer,Belgrade
250,Dennis Macejkovic,Prague
251,Iona Haag,Vaduz
252,Donn Konopelski,Phnom Penh
253,Sari Toy,Bissau
254,Laverne Rath,Khartoum
255,Melia Nolan,Canberra
256,Sheryll Klocko,Valletta
257,Riley McCullough,Palikir
258,Ike Wiegand,Mogadishu
259,Frederic Aufderhar,Lisbon
260,Loree Wiza,Montevideo
261,Marinda Funk,Paramaribo
262,Krista Huel,Lilongwe
263,Bradley Hintz,Ulaanbaatar
264,Karmen Berge,Basseterre
265,Janise Parisian,Vatican City
266,Yasuko Kessler,Majuro
267,Lorrie Hartmann,Bogota
268,Michel Beatty,Brussels
269,Keturah Ziemann,Brasilia
270,Glen Hudson,Gaborone
271,Donald Kilback,Lisbon
272,Iris Medhurst,Baku
273,Windy Rath,Lusaka
274,Frankie McKenzie,Bratislava
275,Modesto Graham,Ulaanbaatar
276,Hertha Bergstrom,Seoul
277,Archie Shields,Singapore
278,Pamelia Bartell,Yaounde
279,Sung Bauch,Thimphu
280,Alexis Buckridge,Bern
281,Joesph Cremin,Prague
282,Harry Reinger,Astana
283,Aleisha Will,Berlin
284,Shawanda Koch,Dhaka
285,Maren Douglas,Mexico City
286,Hubert Legros,Abuja
287,Carmen Crooks,Sanaa
288,Rocky Frami,Abuja
289,Abram Windler,Damascus
290,Lashon Borer,Dushanbe
291,Tijuana Kemmer,Amman
292,Lorraine Keebler,Niamey
293,Domingo Borer,Yerevan
294,Ty Mertz,Montevideo
295,Mayme Pagac,Jakarta
296,Angela Hermann,Mexico City
297,Marianela Nolan,Dhaka
298,Annamarie Becker,Lima
299,Taneka Jacobs,Saint George's
300,Santiago Schiller,Kathmandu
301,Cynthia Maggio,Suva
302,Demarcus Flatley,Mogadishu
303,Lino Haley,Dar es Salaam
304,Rusty Lesch,Kampala
305,Isaias Rodriguez,Kingstown
306,Kaleigh Toy,Minsk
307,Jed Wilderman,Hanoi
308,Isabel Haag,Copenhagen
309,Kim Berge,Monaco
310,August Stroman,Lisbon
311,Earl Rippin,Tallinn
312,Rosana Fritsch,Doha
313,Alejandro Deckow,Berlin
314,Corrinne Tromp,Jerusalem
315,Glynis Legros,Baghdad
316,Pricilla Weissnat,Pristina
317,Antonia Walter,Abu Dhabi
318,Allena Jones,Kuwait City
319,Mikel Keeling,Majuro
320,Wilburn Frami,Prince
321,Shakira Schowalter,Dakar
322,Cornell Kulas,Santiago
323,Duncan Ratke,Tokyo
324,Dierdre Wilkinson,Lome
325,Margrett Dooley,Ouagadougou
326,Max Altenwerth,Helsinki
327,Wilbur Bartell,Dakar
328,Georgiana Nitzsche,San Jose
329,Tasha Carroll,Astana
330,Elroy Conn,Tarawa Atoll
331,Toney Windler,Belmopan
332,Murray Padberg,Bissau
333,Paul Howe,Valletta
334,Cori O'Conner,Saint John's
335,Jame Graham,Windhoek
336,Rodrigo Quigley,Kabul
337,Collin Schulist,Mbabane
338,Ophelia Hagenes,Kingstown
339,Levi Ankunding,Saint George's
340,Monserrate Blick,Ulaanbaatar
341,Lacresha Zemlak,Luanda
342,Shane Beahan,Montevideo
343,Kirk Mohr,Port Louis
344,Nakesha Abernathy,Maseru
345,Young Steuber,Paris
346,Bert Larson,Djibouti
347,Ollie Quitzon,Caracas
348,Newton Macejkovic,Melekeok
349,Mui Wuckert,Bujumbura
350,Luciano West,Bujumbura
351,Joseph Boyer,Lilongwe
352,Wilhemina Abernathy,Muscat
353,Hattie Jacobs,Jakarta
354,Shaunte Cassin,Chisinau
355,Genia Herzog,Guatemala City
356,Athena Dibbert,Kampala
357,Augustus Auer,Palikir
358,Cherie Koss,Taipei
359,Domenic Reichert,Bangkok
360,Anthony Cartwright,Maseru
361,Tayna Goldner,Lisbon
362,Oneida Bosco,Athens
363,Leonor Stark,Tashkent
364,August McDermott,Georgetown
365,Rosette Upton,Vilnius
366,Florine Dickinson,Panama City
367,Aubrey Hagenes,Athens
368,Bryan Langworth,Paramaribo
369,Osvaldo Monahan,New Delhi
370,Morris Rippin,Brazzaville
371,Leandro Kris,Asuncion
372,Shea Kreiger,Vaduz
373,Alexander Schinner,Moscow
374,Theo Upton,Addis Ababa
375,Dennise Gottlieb,London
376,Evette Sawayn,Zagreb
377,Mindy Barton,Mbabane
378,Estrella Torphy,Havana
379,Alva Schroeder,Port-Vila
380,Otis Kemmer,Nouakchott
381,Karl Carter,Dar es Salaam
382,Trevor Wilkinson,Basseterre
383,Elvis Kertzmann,Ankara
384,Carola Considine,Athens
385,Gordon Bartoletti,Porto-Novo
386,Vikki Rowe,Gaborone
387,Grisel O'Conner,Ulaanbaatar
388,Malcom Pagac,Valletta
389,Werner Ullrich,Conakry
390,Janet Effertz,Baku
391,Hyacinth Stoltenberg,Banjul
392,Veola Little,Sao Tome
393,Erich Wehner,Castries
394,Sung Torp,San Marino
395,Clara Corkery,Prince
396,Ayanna Larson,Havana
397,Taylor Wiza,Santo Domingo
398,Nicolas Quigley,Nicosia
399,Loan Schroeder,Bucharest
400,Nakisha Fisher,Apia
401,Isaura Huel,Gaborone
402,Jere Rutherford,Hanoi
403,Olin Glover,Saint John's
404,Christy O'Connell,Tehran
405,Veronika Jerde,Bishkek
406,Major Wolf,San Jose
407,Tayna Harvey,Baghdad
408,Gregorio Schmeler,Muscat
409,Jeremiah Prosacco,Islamabad
410,Seth Yundt,Abuja
411,Ivory Fahey,Bern
412,Oswaldo Erdman,Colombo
413,Delphine Abernathy,Port-Vila
414,Pura Lang,Vilnius
415,Alex Kuhic,Vienna
416,Bob Tremblay,Valletta
417,Stanley Hirthe,Monrovia
418,Ricky Marks,Dublin
419,Cyndi Kertzmann,Havana
420,Hilton Von,Algiers
421,Minh Shanahan,Sanaa
422,Sammie Lebsack,Chisinau
423,Zoe Prosacco,Bridgetown
424,Marcel Beier,Vientiane
425,Lloyd Armstrong,Sao Tome
426,Deon McGlynn,New Delhi
427,Nereida Kuphal,Wellington
428,Oliver Hoppe,Kinshasa
429,Ronald Koepp,Mexico City
430,Santiago Hilll,Nouakchott
431,Colin Donnelly,Dublin
432,Cecil Pacocha,Vientiane
433,Rozanne Hyatt,Sanaa
434,Jeremy Lebsack,Cairo
435,Bess Rempel,Saint George's
436,Rosalina Langworth,Tokyo
437,Lance Dooley,Santo Domingo
438,Mellisa Veum,Madrid
439,Bennie Emard,Banjul
440,Bok Glover,Buenos Aires
441,Philip Wiza,Vatican City
442,Krystal Hamill,Freetown
443,Nelida Smith,Rome
444,Lovella Altenwerth,Baghdad
445,Eldon Konopelski,Berlin
446,Albertine Kihn,Ulaanbaatar
447,Columbus Gleichner,Pristina
448,Terrance Quitzon,Berlin
449,Romeo Gutkowski,Madrid
450,Freddie Lueilwitz,Manila
451,Jody King,Helsinki
452,Meghan Schamberger,Nouakchott
453,Jack Murphy,Conakry
454,Norberto Kohler,Belgrade
455,Arlyne Rau,N'Djamena
456,Ralph Funk,Belmopan
457,Karisa Altenwerth,Roseau
458,Cyrstal Wilderman,Caracas
459,Eddie Crist,Pyongyang
460,Lewis O'Keefe,Prague
461,Caroyln Watsica,Tegucigalpa
462,Jacki Rau,Paramaribo
463,Dann Fisher,Luxembourg
464,Trinity McClure,Astana
465,Luis Corkery,Djibouti
466,Noah Crooks,Moroni
467,Jaime Abernathy,Chisinau
468,Retta Lang,Canberra
469,Ezequiel Mayert,San Jose
470,Dirk Abernathy,Abuja
471,Doretta Streich,Tbilisi
472,Verlie Heathcote,Lisbon
473,Aliza Schowalter,Minsk
474,Tyler Hane,Lima
475,Junko Reichert,Kampala
476,Latosha Mills,Jakarta
477,Paris Kuhn,Dakar
478,Maryrose Glover,Bangkok
479,Grady Heller,Vaiaku village
480,Marissa Gutmann,Budapest
481,Shirlee Osinski,Phnom Penh
482,Natalya Stanton,Washington D.C.
483,Francoise Herzog,Khartoum
484,Felipe Murazik,Asuncion
485,Casey Brakus,Asmara
486,Timothy Witting,Tehran
487,Sacha Cormier,Saint John's
488,Gerardo Rice,Libreville
489,Troy Hahn,Antananarivo
490,Kelley O'Keefe,Bucharest
491,Angelo Lakin,Kinshasa
492,Johnathan Dickinson,Port Moresby
493,Petrina Kihn,Moroni
494,Hollis Wyman,Ankara
495,Donya Quitzon,Kampala
496,Pok Blick,Yerevan
497,Eda Ziemann,Nuku'alofa
498,Velda Gottlieb,Bandar Seri Begawan
499,Angelo Runte,Baghdad
500,Coy Simonis,Tbilisi
501,Federico Blanda,Banjul
502,Fidel Bernier,Dushanbe
503,Paola Vandervort,Managua
504,Elease Ortiz,Kathmandu
505,Babette Schumm,Dhaka
506,Simon Hoeger,London
507,Juan Tremblay,Colombo
508,Eleonor Terry,Minsk
509,Nolan Wehner,Tunis
510,Federico Botsford,Dublin
511,Mark Windler,Tegucigalpa
512,Venice Larson,Amman
513,Quintin Dach,Montevideo
514,Cristi MacGyver,Bamako
515,Tamera Gorczany,Luxembourg
516,Hans Adams,Bamako
517,Jc Welch,Sanaa
518,Erlinda Rodriguez,Kathmandu
519,Valerie Rowe,Lusaka
520,Eli Pacocha,Guatemala City
521,Julene Mertz,Amman
522,Cicely Buckridge,Bratislava
523,Lauren Dietrich,Manama
524,Jeffry Mann,Mbabane
525,Lu Sipes,Havana
526,Al Runte,Buenos Aires
527,Norris Botsford,Madrid
528,Kevin Schultz,Santo Domingo
529,Timothy Nienow,Wellington
530,Aron Emmerich,Reykjavik
531,Margene Boyer,Bucharest
532,Ken Zboncak,Maseru
533,Mickey Grant,Chisinau
534,Tatiana Senger,Luxembourg
535,Duncan Gottlieb,Addis Ababa
536,Layla Borer,Accra
537,Steffanie Schaefer,New Delhi
538,Sherlyn Oberbrunner,Monaco
539,Val Hills,Andorra la Vella
540,Mildred Anderson,Lilongwe
541,Rheba Schinner,Abuja
542,Rima Marvin,Juba
543,Christy Conn,Bishkek
544,Jesusa Macejkovic,Damascus
545,Thao Mertz,Palikir
546,Anissa Senger,Managua
547,Moses MacGyver,Conakry
548,Alex Stroman,Panama City
549,Shon Tromp,Bangkok
550,Fatimah Davis,Washington D.C.
551,Jodi Bednar,Maputo
552,Hortencia Friesen,Asuncion
553,Lashay Langworth,Sanaa
554,Robby Spencer,Port-of-Spain
555,Newton Kautzer,Sanaa
556,Natalie Purdy,Rome
557,Noble Cronin,San Jose
558,Minh Welch,Madrid
559,Dorethea Kuhlman,Bishkek
560,Rafael Smith,Kampala
561,Irvin Littel,Nairobi
562,Mindi Moore,Nassau
563,Anastacia Gibson,San Jose
564,Erwin Leannon,Porto-Novo
565,Jesus Lueilwitz,Gaborone
566,Nery Ankunding,Nuku'alofa
567,Merlin King,Nassau
568,Charlsie Nienow,Castries
569,Edmundo Heathcote,Monaco
570,Ira Purdy,Rabat
571,Tristan Thiel,Dhaka
572,Wallace Dickens,Dublin
573,Larry Murray,Pristina
574,Bret Streich,Baghdad
575,Deeanna Cartwright,Vatican City
576,Javier Walsh,Malabo
577,Elliot Kihn,Male
578,Flo Lind,Manama
579,Tereasa Towne,Riyadh
580,Andrew Schuster,Wellington
581,Solange Hyatt,Kampala
582,Tomas Erdman,Islamabad
583,Broderick O'Hara,Tarawa Atoll
584,Dona Buckridge,Lilongwe
585,Kandice Kub,Stockholm
586,Josiah Pollich,Sofia
587,Jamaal Schuster,Stockholm
588,Lindy Lynch,Conakry
589,Somer Hessel,Conakry
590,Wei Stroman,Melekeok
591,Lavern Hand,Port Moresby
592,Jamison Reichel,Libreville
593,Sylvester Kunde,Dhaka
594,Gene Bernier,Montevideo
595,Angel Altenwerth,Tallinn
596,Dannielle Reinger,Algiers
597,Sung Gusikowski,Vienna
598,Jeremy O'Kon,Tarawa Atoll
599,Cedrick Bernier,Phnom Penh
600,Salley Jacobi,Praia Bangui
601,Mavis Schroeder,Madrid
602,Ruben Howe,Yerevan
603,Jody Bruen,Riga
604,Geoffrey Willms,Palikir
605,Joannie Feeney,Lima
606,Melvin Wyman,Islamabad
607,Sid Konopelski,Conakry
608,Billy Smith,Rome
609,Lupita Kozey,Bamako
610,Jenae Macejkovic,Harare
611,Noe Klocko,Panama City
612,Lance Cronin,Bamako
613,Santiago Bechtelar,Bridgetown
614,Krissy Johnson,Kuala Lumpur
615,Nidia Reynolds,Kingstown
616,Leeann Wisoky,N'Djamena
617,Maritza Parisian,Andorra la Vella
618,Carolann Renner,Pyongyang
619,Rafael Howell,Dushanbe
620,Mitch Windler,San Jose
621,Rickey Kunze,Madrid
622,Callie Douglas,Lusaka
623,Cody Harber,Asuncion
624,Gonzalo Kling,Lima
625,Zackary Abernathy,Sarajevo
626,Lura Runolfsson,London
627,Jc Davis,Dakar
628,Shane Cormier,Addis Ababa
629,Kyle White,Kampala
630,Prince Dooley,Harare
631,Clayton Wilderman,Prince
632,Emerson Rolfson,Hanoi
633,Alison Kirlin,Antananarivo
634,Lera Streich,Mexico City
635,Florentino Gislason,Vientiane
636,Renetta Gutkowski,Cairo
637,Houston Runolfsson,Canberra
638,Doug Schoen,Moroni
639,Clint Hilll,Port Moresby
640,Elton Schulist,Manila
641,Indira Jones,Basseterre
642,Shizue Runte,Tirana
643,Isaac Effertz,Malabo
644,Jeanett West,Belmopan
645,Twila O'Reilly,Rabat
646,Arron Mayer,Cairo
647,Juliann Reichert,Yerevan
648,Marylou Johnston,Tashkent
649,Marianela Hahn,Riyadh
650,Roselia Zieme,Jerusalem
651,Gema Walker,Gaborone
652,Hobert Sauer,Vilnius
653,Charlene Dooley,Astana
654,Claribel Watsica,Nouakchott
655,Efren Jerde,Baku
656,Albert Zieme,Tegucigalpa
657,Kristopher O'Kon,Roseau
658,Kent McKenzie,Kampala
659,Myrtle Carter,Copenhagen
660,Xavier Koepp,Ashgabat
661,Grady Flatley,Bissau
662,Laurie Smitham,Dublin
663,Kenisha Nicolas,Addis Ababa
664,Maurice Steuber,Riga
665,Miquel Parker,Bratislava
666,Eryn Kirlin,Prague
667,Ignacia Hettinger,Kinshasa
668,Carmelo Weimann,Prague
669,Vern Schmeler,Conakry
670,Bell Gerlach,Ljubljana
671,Rudolph Turner,Nassau
672,Graham Jast,Sanaa
673,Zaida Rice,Bridgetown
674,Teddy Keebler,Sanaa
675,Maxie Little,Bern
676,Clarence Tromp,Luanda
677,Samatha Lesch,Athens
678,Coral Zboncak,Prague
679,Helga Kilback,Khartoum
680,Charlena Mills,Tbilisi
681,Alexia Boyle,Honiara
682,Paris Heidenreich,Warsaw
683,Analisa Hoeger,Washington D.C.
684,Marlys Halvorson,Windhoek
685,Nicola Schmidt,Belgrade
686,Leana Wehner,Lisbon
687,Rickey Volkman,Thimphu
688,Julieann Schmeler,Dakar
689,Solomon Buckridge,Jerusalem
690,Terrilyn Morar,Kathmandu
691,Jordan Gulgowski,London
692,Lee Howell,Paramaribo
693,King Blanda,Praia Bangui
694,Coreen Gerhold,Kabul
695,Winifred Klein,Muscat
696,Ivan Nolan,Dakar
697,Ayako Huel,Ljubljana
698,Gilma Larson,Ankara
699,Joanne Wisozk,Bandar Seri Begawan
700,Myles Schoen,Honiara
701,Salome Langosh,Saint John's
702,Rodney Marvin,Asmara
703,Antonia Hane,Castries
704,Norris Kub,Brussels
705,Ethelene Roob,Canberra
706,Keenan Jacobson,Baghdad
707,Marty MacGyver,Tripoli
708,Guy Bergstrom,Skopje
709,Dylan Cassin,Malabo
710,Frederick Kovacek,Copenhagen
711,Barton Gutkowski,Baghdad
712,Shirl Bauch,Castries
713,Karl Yost,Conakry
714,Aubrey Rath,Guatemala City
715,Lavern Simonis,Lilongwe
716,Ken Roob,Nairobi
717,Dane Kutch,Washington D.C.
718,Shanel Ernser,Luxembourg
719,Tuan Casper,Maputo
720,Vince Wintheiser,Vienna
721,Brain Rodriguez,Caracas
722,Kelly Brakus,Abuja
723,Edgar Stiedemann,Male
724,Antonietta Lehner,Suva
725,Dorian Sipes,Castries
726,Inga Feil,Monaco
727,Normand Feest,Valletta
728,Caryn Collier,Beijing
729,Norman Lehner,Washington D.C.
730,Renee Koepp,Beirut
731,Carson Oberbrunner,Sarajevo
732,Ria Skiles,Montevideo
733,Felton Kshlerin,Jakarta
734,Marshall Weissnat,Bucharest
735,Eun O'Kon,Madrid
736,Jeff Deckow,Thimphu
737,Keith Gibson,Djibouti
738,Vanda Bayer,Port Louis
739,Kacy Smitham,Conakry
740,Monroe Brekke,Sofia
741,Deann Swaniawski,Taipei
742,Burton Mann,Wellington
743,Shane Schmitt,Podgorica
744,Pok Cartwright,Georgetown
745,Abe Hickle,Zagreb
746,Young Corwin,Lusaka
747,Leonor Williamson,Bamako
748,Landon Luettgen,Havana
749,Arica Berge,Majuro
750,Josue Smith,Madrid
751,Victorina Swaniawski,Mexico City
752,Julio Cormier,Vaiaku village
753,Bryce Waters,Dakar
754,Guillermo Feeney,Kampala
755,Salvador McCullough,Havana
756,Bridget Abernathy,Amman
757,Juliette Zemlak,Kuwait City
758,Lauretta Mosciski,Porto-Novo
759,Demarcus Gulgowski,Lome
760,Reggie Donnelly,Damascus
761,Nathanael Strosin,Tunis
762,Jeane Paucek,Suva
763,Jc Kautzer,Port-Vila
764,Barry Lemke,Tallinn
765,Thu Hills,Belgrade
766,George Conroy,Freetown
767,Gavin Fadel,Praia Bangui
768,Demarcus Prosacco,Skopje
769,Lanie Yundt,Apia
770,Leone Green,Rabat
771,Rachel MacGyver,Vaiaku village
772,Grover Jast,Tarawa Atoll
773,Gaynelle Heathcote,New Delhi
774,Andrew Ledner,Baku
775,Conrad Boyle,Windhoek
776,Chantel Kuhn,Vienna
777,Nestor Abbott,Rabat
778,Meg Walter,Dar es Salaam
779,Lynwood Aufderhar,Belgrade
780,Fermina Bednar,Tokyo
781,Bebe Cartwright,Tehran
782,Liz Feil,Gaborone
783,Cari Heller,Canberra
784,Ian Shields,Reykjavik
785,Margarette Fisher,Paris
786,Ferdinand Smith,Nouakchott
787,Herbert Boyle,Tokyo
788,Etsuko Mraz,Jerusalem
789,Howard Legros,Windhoek
790,Giuseppe Terry,San Marino
791,Mickie Blanda,Nuku'alofa
792,Kaleigh Becker,Abu Dhabi
793,Lekisha Metz,Podgorica
794,Alvin Schroeder,Mexico City
795,Pierre Witting,Lisbon
796,Hilary Schmeler,Dakar
797,Clarence Roberts,Vienna
798,Adelia Durgan,Cairo
799,Jerald Leffler,Nairobi
800,Rosetta Olson,Taipei
801,Shelby Trantow,Kuwait City
802,Damion Legros,Lusaka
803,Emory Labadie,Ulaanbaatar
804,Samuel Morissette,Tehran
805,Clarita Fritsch,Juba
806,Mack Sauer,Dublin
807,Myrna Kris,Tripoli
808,Ethelyn Mills,Monaco
809,Moshe Harber,Basseterre
810,Rudolph Murazik,Damascus
811,Zenobia Gibson,San Jose
812,Jess Gislason,Abu Dhabi
813,Alphonse Boehm,Bogota
814,Clair Becker,Luxembourg
815,Yuonne Windler,Belmopan
816,Gaston Collins,Porto-Novo
817,Keith Hudson,Bratislava
818,Eliseo Rath,Tegucigalpa
819,Tona Lindgren,Paramaribo
820,Albina O'Conner,Lome
821,Trent West,Honiara
822,Eli Gorczany,Porto-Novo
823,Melodi Welch,Wellington
824,Lewis Padberg,N'Djamena
825,Cyril Legros,Nouakchott
826,Christin Borer,Lilongwe
827,Dwain Senger,Bujumbura
828,Harvey Raynor,Brazzaville
829,Rufina Predovic,Niamey
830,Damien Vandervort,Dili
831,Antione Metz,Dili
832,Kiley Russel,Tirana
833,Malinda Wolf,N'Djamena
834,Emily Greenfelder,New Delhi
835,Wilber Haag,Kyiv
836,Alla Turcotte,Washington D.C.
837,Chauncey Abbott,Vilnius
838,Josh Bernhard,Brussels
